"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CXCL2",1.1987881041488e-204,-1.82380237326848,0.351,0.615,3.05571087747529e-200
"CXCL3",6.20764427954545e-197,-1.76296545245513,0.55,0.738,1.58232852685614e-192
"EREG",1.86412273361629e-85,-1.70466358199759,0.187,0.354,4.75164884798793e-81
"CXCL8",4.82568506200948e-166,-1.55056198065419,0.494,0.714,1.23006712230622e-161
"FN1",2.1339142645915e-208,-1.38742499320813,0.818,0.909,5.43934746044372e-204
"EGR1",1.63651801009364e-163,-1.24131109718963,0.132,0.403,4.1714844077287e-159
"FOS",4.45772804935838e-140,-1.16215400568237,0.832,0.88,1.13627487978145e-135
"NR4A3",9.62646216589944e-76,-1.06316028613502,0.194,0.311,2.45378520608777e-71
"SLC39A8",9.99105509428115e-114,-1.04151869853317,0.368,0.598,2.54671994353227e-109
"NFKBIZ",4.88508374048354e-163,-1.0345103541982,0.548,0.725,1.24520784544925e-158
"SAMSN1",2.41371911131771e-107,-1.03165714886684,0.505,0.685,6.15257001474885e-103
"IFI27",1.15081149895944e-54,-1.02253175013452,0.388,0.504,2.93341851084762e-50
"SLC2A3",7.85094900824093e-110,-1.02027128025167,0.487,0.663,2.00120690220061e-105
"TNFAIP6",1.21937399399286e-77,-1.01526594005535,0.35,0.557,3.1081843106878e-73
"NFKBIA",2.75289308624487e-144,-1.01285468653599,0.69,0.816,7.01712447683817e-140
"CCL4",1.13981620254065e-62,-1.00390693774866,0.535,0.68,2.90539150027613e-58
"IER2",4.45016327946215e-112,-0.987798887639165,0.438,0.574,1.1343466199349e-107
"CXCL1",3.63959724803714e-94,-0.939192691634015,0.032,0.184,9.27733338524667e-90
"CCL20",3.82418166878487e-41,-0.932582296687098,0.384,0.52,9.74783907373264e-37
"CXCL5",3.86511395973331e-67,-0.909636487464877,0.371,0.562,9.85217548336022e-63
"AZIN1-AS1",5.26288642533019e-69,-0.86843412158386,0.183,0.337,1.34150974981667e-64
"CCL3",5.02229046189981e-46,-0.868038104690422,0.588,0.636,1.28018183873826e-41
"ZFP36",2.4254769076467e-126,-0.840862456727175,0.623,0.722,6.18254063759143e-122
"NAMPT",9.86760422070796e-76,-0.795636522934593,0.968,0.975,2.51525231585846e-71
"GADD45B",2.82026616965403e-71,-0.791518823985383,0.51,0.583,7.18885846644812e-67
"INHBA",2.91458394193897e-39,-0.791197150098125,0.588,0.66,7.42927446800243e-35
"PTGS2",3.38528233747163e-62,-0.788645421950986,0.097,0.227,8.62908467821518e-58
"TNFAIP3",1.75607283542837e-88,-0.779847392512221,0.673,0.766,4.47622965750693e-84
"IER3",5.5768199035595e-79,-0.779629235807336,0.203,0.381,1.42153139341732e-74
"CLIC4",2.66148845715513e-97,-0.772213819045656,0.843,0.917,6.78413407728841e-93
"IL1B",3.5997809538356e-30,-0.7642522427844,0.483,0.535,9.17584165132695e-26
