"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IGFBP2",1.63498683780945e-95,0.947554639979579,0.428,0.248,4.1675814495763e-91
"APOE",3.29072492827038e-78,0.916028729243495,0.964,0.94,8.38805784216119e-74
"SERPING1",2.16556683523475e-223,0.840160110193774,0.931,0.757,5.52002986301338e-219
"CES1",2.87823556074812e-66,0.728476088404992,0.803,0.678,7.33662244434695e-62
"HP",3.36772100149509e-161,0.692482491959792,0.397,0.108,8.58432083281099e-157
"CFD",2.39137632240819e-94,0.678546994750792,0.865,0.773,6.09561824581848e-90
"FABP4",7.52362139449457e-36,0.647659415675831,0.992,0.983,1.91777109345667e-31
"NUPR1",1.42716715123527e-49,0.587274095502958,0.855,0.77,3.63784906849869e-45
"APOC1",2.53527118287589e-73,0.580535294420184,1,1,6.46240624515064e-69
"CTSL",1.51086309956879e-22,0.579910457091354,0.985,0.978,3.85119004080084e-18
"LSP1",2.30629724196932e-86,0.563728887545319,0.639,0.428,5.8787516697798e-82
"HLA-DRB5",3.34230854134296e-26,0.559409634239628,0.845,0.896,8.51954447188321e-22
"HLA-DQB1",5.64934699682216e-55,0.548997694193386,0.985,0.987,1.44001854948997e-50
"TRHDE",1.56579042328375e-65,0.533931013740055,0.471,0.258,3.99119978895029e-61
"GCHFR",3.62514826473798e-67,0.525702849470974,0.961,0.92,9.2405029268171e-63
"LYZ",4.70714682731509e-53,0.503965997682259,1,1,1.19985172628262e-48
"AC026369.3",1.00535122653567e-65,0.491947127829927,0.847,0.754,2.56264027643942e-61
"ARL17B",3.57418991754852e-138,0.479947008277144,0.351,0.094,9.11061009983117e-134
"C9orf16",7.2069800353958e-75,0.476267377198712,0.832,0.738,1.83705921102239e-70
"ABCG1",6.76920809716613e-67,0.472762246474544,0.963,0.924,1.72547114396765e-62
"CAMP",2.02402519586354e-41,0.471875691421055,0.331,0.185,5.15924022425615e-37
"NMB",1.37232033679638e-29,0.455852001599508,0.436,0.318,3.49804453849396e-25
"ISG15",4.93283827186915e-19,0.439500363148704,0.617,0.658,1.25738047549945e-14
"LAMP1",1.28660666206349e-77,0.433579805851787,0.917,0.868,3.27956038159983e-73
"CD63",5.5861417783127e-30,0.430776297448224,1,0.997,1.42390753929191e-25
"ANO5",3.31118526551463e-31,0.42856022437269,0.693,0.571,8.4402112417968e-27
"PHLDA3",4.19910926338266e-57,0.423838932687227,0.651,0.529,1.07035295123624e-52
"TTC39B",1.63200739469284e-34,0.422224035831119,0.727,0.625,4.15998684907205e-30
"DENND4C",4.88877024466017e-52,0.42209163714754,0.951,0.89,1.24614753536388e-47
"BSG",1.07353890055663e-66,0.40497497054152,0.817,0.713,2.73645065751885e-62
"C8B",3.70334913582308e-61,0.399410492932282,0.291,0.122,9.43983694721302e-57
"CYBA",7.26202222801998e-18,0.391358872602106,0.996,0.997,1.85108946592229e-13
"HLA-C",1.10680523751428e-61,0.390055345928953,1,0.999,2.82124655042389e-57
"CD82",9.35752612594591e-54,0.388212657373957,0.604,0.501,2.38523340950361e-49
"NRP1",2.18426781350645e-24,0.387218388627968,0.797,0.775,5.56769865662795e-20
