"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HLA-DQA2",2.26251884279137e-230,1.57578496013789,0.828,0.25,4.25783421024908e-226
"AC105402.3",2.48231370770492e-119,-1.15426726409864,0.028,0.317,4.67146616652989e-115
"HP",9.25608626805224e-103,-0.963666466424926,0.374,0.764,1.74190287478475e-98
"MTRNR2L8",1.03996814699027e-76,-1.00487475005909,0.319,0.453,1.95711605582098e-72
"CD14",7.33861609530251e-72,0.912234059468638,0.762,0.544,1.38105416297498e-67
"DEFB1",9.85096453654467e-58,0.829920440293444,0.472,0.195,1.85385301613234e-53
"HLA-A",8.8404102040344e-54,0.603222878411633,0.998,0.999,1.66367679629723e-49
"CFD",1.57139139640208e-49,-0.742562929857696,0.779,0.88,2.95720146888908e-45
"C8B",2.99625429329709e-48,-0.636116723352125,0.231,0.469,5.63865095455579e-44
"CLEC4D",5.16583594544966e-44,0.384023365589917,0.214,0.042,9.72158666574171e-40
"AC020656.1",6.21905224116981e-44,0.449751309529283,0.995,0.933,1.17036344126575e-39
"S100A8",1.3509536637935e-42,0.793420680938938,0.828,0.68,2.542359699893e-38
"MTRNR2L12",5.97999668389254e-38,0.550126024461139,0.772,0.581,1.12537557594174e-33
"S100A6",5.02839322919398e-37,0.394527791100227,1,0.999,9.46293321802015e-33
"THBS1",1.4120675252001e-36,-0.633041980232835,0.757,0.791,2.65736987567406e-32
"IFITM3",2.23922663514499e-36,0.615197142111134,0.648,0.491,4.21400060467936e-32
"CLEC4E",1.45189655656652e-35,0.50135154423007,0.388,0.198,2.73232412980253e-31
"NCF1",5.35170959265942e-34,0.496182075271574,0.49,0.291,1.00713822824258e-29
"SERPING1",7.93874047056948e-34,-0.473418846240658,0.823,0.919,1.49399156915647e-29
"EMP3",8.22311482358493e-33,0.492119366539475,0.957,0.926,1.54750797865045e-28
"SLC2A3",8.32258500852445e-33,0.69288268872828,0.55,0.356,1.56622727275422e-28
"HLA-DQA1",3.50584877448175e-31,-0.477233060415743,0.985,0.994,6.5976568086972e-27
"IFI6",3.89430198021987e-31,0.461969017650518,0.97,0.95,7.32868689657577e-27
"XAF1",9.89143454961715e-29,0.431341038550003,0.797,0.66,1.86146906789245e-24
"HLA-DRB1",2.16851826946918e-28,-0.314262256006517,1,1,4.08093453131405e-24
"APOE",2.42385035530697e-28,-0.489641787047473,0.956,0.947,4.5614439836522e-24
"KRT10",2.48695625166485e-28,-0.43590102205125,0.426,0.575,4.68020297000809e-24
"ITGAM",1.05905549717842e-27,0.435496248749189,0.506,0.32,1.99303654014006e-23
"LPAR1",1.27694118513162e-26,0.372742770854673,0.393,0.218,2.4030756162992e-22
"IFI44L",7.22434117734657e-26,0.517729185189245,0.551,0.397,1.35954876616485e-21
"AC009093.2",8.04382777752735e-25,-0.436842934007331,0.483,0.651,1.51376794945287e-20
"PDLIM7",6.01106103593555e-24,0.323415058491105,0.429,0.262,1.13122157635271e-19
"IFI16",1.78779476356233e-23,0.380936713011639,0.951,0.941,3.36445096554796e-19
"FN1",3.20012608909701e-23,0.610894416454075,0.938,0.903,6.02231728707167e-19
"SLC16A10",9.20373852847837e-23,-0.473330658601852,0.231,0.407,1.73205155367435e-18
"TYMP",1.16063858014334e-22,0.404972915119599,0.726,0.623,2.18420574397176e-18
"IFI44",1.22525864256595e-22,0.369769454540586,0.653,0.529,2.30581423944487e-18
"CAMK1D",1.45187300144092e-22,0.555268367707417,0.916,0.864,2.73227980141166e-18
"IGF1",2.90875452831737e-22,-0.51127640376745,0.06,0.18,5.47398514684045e-18
"ALCAM",3.81904449504841e-22,0.391089063335328,0.911,0.862,7.18705983523161e-18
"ISG15",5.47741799660942e-22,0.566808489375794,0.729,0.606,1.03079529278193e-17
"TUBA1A",7.33078956054445e-22,0.386597870226865,0.645,0.5,1.37958128739886e-17
"AKR1C2",8.81592824349965e-22,-0.300615839122317,0.135,0.275,1.6590695361442e-17
"KCNQ1",2.57646427139728e-21,-0.276321655580792,0.224,0.387,4.84864811234254e-17
"PDK4",2.58679237739383e-21,-0.475477840848273,0.554,0.67,4.86808457501745e-17
"MYADM",8.14989441015363e-21,0.380085849355031,0.812,0.695,1.53372862904681e-16
"MT2A",8.16903276151912e-21,1.0667675302881,0.726,0.642,1.53733027539028e-16
"ITGA6",1.02643124056085e-20,0.316604082197768,0.31,0.168,1.93164095161146e-16
"PLSCR1",2.13796067781086e-20,0.326485915119605,0.927,0.857,4.02342819957225e-16
"VCAN",6.12077585058633e-20,0.582199575209383,0.537,0.37,1.15186880732184e-15
"MTHFD2",1.44087596964399e-19,0.398432322137883,0.754,0.642,2.71158448727302e-15
"S100A10",2.70224632469193e-19,0.328123407720951,1,1,5.08535735843774e-15
"TXN",3.95809983640757e-19,0.370800170921769,0.993,0.993,7.44874808213541e-15
"HLA-B",4.82073469486581e-19,0.266427808197041,1,0.999,9.07214062226798e-15
"MX1",3.09918913419897e-18,0.388626442622206,0.781,0.672,5.83236403164904e-14
"CLEC7A",3.15517013558105e-18,0.315349119315114,0.939,0.895,5.93771467814997e-14
"LGMN",3.58694153740172e-18,0.331725721769225,0.426,0.282,6.7502652792363e-14
"NAGK",4.4983264650213e-18,0.296125872737569,0.654,0.545,8.46540057452359e-14
"TGM2",4.62303209419946e-18,-0.59349689939004,0.576,0.653,8.70008409807397e-14
"ATF4",7.39707139730208e-18,0.331010496525601,0.645,0.532,1.39205486625828e-13
"ACKR3",8.95360329290136e-18,-0.332060666566513,0.34,0.499,1.68497860369111e-13
"CD44",1.26150232371195e-17,0.2845063797986,0.995,0.99,2.37402122299352e-13
"MARCKS",1.65819451803939e-17,0.498751234749532,0.34,0.213,3.12055626349833e-13
"PARP14",1.98132405513066e-17,0.315699832235941,0.935,0.896,3.7286537393504e-13
"VIM",7.43038535390416e-17,0.353880359371599,1,1,1.39832421975122e-12
"CAPN2",9.554660969954e-17,0.296976606622618,0.549,0.442,1.79809164793564e-12
"DSE",1.01807889233228e-16,0.320981710704,0.84,0.753,1.91592266748011e-12
"CRIP1",1.0222626831928e-16,0.273735669213078,0.999,0.999,1.92379614350054e-12
"ATP5ME",1.91361007781267e-16,0.271921428043368,0.886,0.808,3.60122280543567e-12
"IGF2BP3",2.83253417181688e-16,0.300202470531887,0.401,0.261,5.33054605794218e-12
"HCK",2.68618858084628e-15,0.260958729494672,0.886,0.81,5.05513829029462e-11
"C15orf48",2.84720918054097e-15,0.470586585497216,0.32,0.21,5.35816295686005e-11
