"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC105402.3",2.48231370770492e-119,-1.15426726409864,0.028,0.317,4.67146616652989e-115
"MTRNR2L8",1.03996814699027e-76,-1.00487475005909,0.319,0.453,1.95711605582098e-72
"HP",9.25608626805224e-103,-0.963666466424926,0.374,0.764,1.74190287478475e-98
"CFD",1.57139139640208e-49,-0.742562929857696,0.779,0.88,2.95720146888908e-45
"C8B",2.99625429329709e-48,-0.636116723352125,0.231,0.469,5.63865095455579e-44
"THBS1",1.4120675252001e-36,-0.633041980232835,0.757,0.791,2.65736987567406e-32
"TGM2",4.62303209419946e-18,-0.59349689939004,0.576,0.653,8.70008409807397e-14
"IGF1",2.90875452831737e-22,-0.51127640376745,0.06,0.18,5.47398514684045e-18
"APOE",2.42385035530697e-28,-0.489641787047473,0.956,0.947,4.5614439836522e-24
"HLA-DQA1",3.50584877448175e-31,-0.477233060415743,0.985,0.994,6.5976568086972e-27
"PDK4",2.58679237739383e-21,-0.475477840848273,0.554,0.67,4.86808457501745e-17
"SERPING1",7.93874047056948e-34,-0.473418846240658,0.823,0.919,1.49399156915647e-29
"SLC16A10",9.20373852847837e-23,-0.473330658601852,0.231,0.407,1.73205155367435e-18
"AC009093.2",8.04382777752735e-25,-0.436842934007331,0.483,0.651,1.51376794945287e-20
"KRT10",2.48695625166485e-28,-0.43590102205125,0.426,0.575,4.68020297000809e-24
"ZBTB7C",3.03512238463717e-13,-0.359089636279031,0.334,0.469,5.71179681564869e-09
"IL1B",3.35785798044129e-13,-0.358892527807717,0.304,0.425,6.31915293339246e-09
"PALLD",1.52215258129678e-12,-0.353972726617776,0.312,0.416,2.86453894274241e-08
"RBP4",2.29341562368528e-11,-0.352183227088616,0.647,0.739,4.31597886221334e-07
"ACKR3",8.95360329290136e-18,-0.332060666566513,0.34,0.499,1.68497860369111e-13
"PCOLCE2",3.87972490396193e-14,-0.323143960044744,0.496,0.618,7.30125429676595e-10
"GNG11",6.67393977215635e-12,-0.317470352074675,0.168,0.245,1.2559687257221e-07
"HLA-DRB1",2.16851826946918e-28,-0.314262256006517,1,1,4.08093453131405e-24
"LIPA",7.90872014948089e-12,-0.304970941920438,0.8,0.781,1.48834204493081e-07
"EVI5",7.25899167589956e-15,-0.303755682351092,0.931,0.957,1.36606964348754e-10
"ANO5",1.17760043580588e-12,-0.302787527053586,0.544,0.657,2.21612626014309e-08
"AKR1C2",8.81592824349965e-22,-0.300615839122317,0.135,0.275,1.6590695361442e-17
"AC092691.1",3.40365466231072e-07,-0.296507248488747,0.868,0.909,0.00640533770900254
"ACSM3",2.41797267294616e-09,-0.287738570480319,0.823,0.872,4.55038277321738e-05
"CAMP",7.45109545728062e-10,-0.283217195339076,0.211,0.32,1.40222165410564e-05
"FTL",5.11922519515588e-13,-0.278004974993495,1,1,9.63386989476384e-09
"KCNQ1",2.57646427139728e-21,-0.276321655580792,0.224,0.387,4.84864811234254e-17
"ELL2",9.08189415473812e-08,-0.26299806667704,0.774,0.809,0.00170912166098017
"KCNMA1",5.25659450451824e-09,-0.262344731579378,0.387,0.492,9.89238519805288e-05
"FBN1",1.49895282801159e-10,-0.256046767171828,0.109,0.173,2.82087932703501e-06
"ADAMTSL4-AS1",1.47558230846281e-07,-0.25488707398959,0.365,0.458,0.00277689834629616
"ITSN1",8.43277268924553e-10,-0.250200450555394,0.46,0.575,1.58696349238912e-05
