Pathway,Celltype,Comparison,Direction,ID,Count,pvalue,p.adjust,Genes
antigen processing and presentation of peptide antigen,AM-CCL,CFN_vs_CFB,Up,GO:0048002,7,3.367106892348048e-8,6.771251960511924e-5,CTSL; HLA-DRB5; HLA-DQB1; HLA-C; HLA-DQA1; CTSD; HLA-B
regulation of steroid metabolic process,AM-CCL,CFN_vs_CFB,Up,GO:0019218,7,9.32296587910728e-7,3.3754006412263846e-4,APOE; CES1; APOC1; ABCG1; TTC39B; AKR1C3; LPCAT3
regulation of cholesterol metabolic process,AM-CCL,CFN_vs_CFB,Up,GO:0090181,5,1.0159406156584357e-6,3.3754006412263846e-4,APOE; CES1; ABCG1; TTC39B; LPCAT3
cholesterol transport,AM-CCL,CFN_vs_CFB,Up,GO:0030301,7,2.686967606372362e-6,6.003879840460911e-4,APOE; CES1; APOC1; ABCG1; TTC39B; LIMA1; LPCAT3
regulation of sterol transport,AM-CCL,CFN_vs_CFB,Up,GO:0032371,6,3.338610729563476e-6,6.103587433774682e-4,APOE; CES1; APOC1; ABCG1; TTC39B; LPCAT3
regulation of cholesterol transport,AM-CCL,CFN_vs_CFB,Up,GO:0032374,6,3.338610729563476e-6,6.103587433774682e-4,APOE; CES1; APOC1; ABCG1; TTC39B; LPCAT3
steroid metabolic process,AM-CCL,CFN_vs_CFB,Up,GO:0008202,10,6.66452549748964e-6,9.573114839608333e-4,APOE; CES1; APOC1; ABCG1; TTC39B; AKR1C3; LIMA1; CYP27A1; LPCAT3; AKR1C2
cholesterol homeostasis,AM-CCL,CFN_vs_CFB,Up,GO:0042632,6,1.1171223945837911e-5,0.001356442625483267,APOE; CES1; FABP4; ABCG1; TTC39B; LIMA1
sterol homeostasis,AM-CCL,CFN_vs_CFB,Up,GO:0055092,6,1.1857824086215756e-5,0.001356442625483267,APOE; CES1; FABP4; ABCG1; TTC39B; LIMA1
secondary alcohol metabolic process,AM-CCL,CFN_vs_CFB,Up,GO:1902652,7,1.2141206990899455e-5,0.001356442625483267,APOE; CES1; ABCG1; TTC39B; LIMA1; CYP27A1; LPCAT3
