Reference,group2,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
Present,CFN,-0.321401824369138,-0.109119993826574,0.045880460401776,0.0867526968654688,0.250445867529096,0.935332627977419
Present,CFB,-0.311808330769988,-0.185782130842521,-0.135826483361876,-0.0672207323165917,-0.0172593722774659,0.986086810022636
Present,C,-0.307499401484339,-0.170716487358026,-0.117307900277194,-0.0727802649140059,-0.020358318765228,0.771758433399043
Li,CFN,-0.358548749160944,-0.0993750871185331,0.141748085145444,0.123687713208177,0.30164961856917,0.884086493545694
Li,CFB,-0.364966802128186,-0.215643433049667,-0.132863354621335,-0.0559477486477337,0.0494993077608831,0.871344726429534
Li,C,-0.361033575108343,-0.19116239354821,-0.0917489353331606,-0.047742182864197,0.0678060413176874,0.738291163127097
Wendisch,CFN,-0.286234265949754,-0.00643610926210767,0.149966260182201,0.177758941071863,0.332732811530514,1.09945799704953
Wendisch,CFB,-0.317403798348669,-0.109293008768195,-0.0297662153156195,0.0315167028222947,0.118901107630183,0.976205307803181
Wendisch,C,-0.318969716757857,-0.083252913814767,0.0095501332409007,0.0483666013309586,0.139586878417189,0.812753786325733
Liao,CFN,-0.332545322467329,0.0365395695300458,0.200942463388344,0.253586548604142,0.446737413191962,1.26953136261604
Liao,CFB,-0.342142361347984,-0.0634708359710484,0.0338935416132538,0.0963957561795404,0.183734341584322,1.19668506088285
Liao,C,-0.329015712603751,-0.0393322256846451,0.071109629782924,0.102689658991163,0.208107879575735,1.051865512841
Morrell,CFN,-0.316926951393671,0.0323403314597765,0.135207283635469,0.168888234325177,0.275045482292952,1.14254730569352
Morrell,CFB,-0.358732407592208,-0.00426970248056711,0.0840985040385649,0.118431812439625,0.191437301211077,1.03635546195109
Morrell,C,-0.298704116361072,-0.0149765649377648,0.0751622787442133,0.0982355107465234,0.179705310976923,0.963496819143979
