"","Condition2","PC1","PC2"
"eAIR011","C",-1.76835556921671,-0.63930751794661
"eAIR035","C",0.152776291412876,-0.718782320669749
"eAIR036","C",3.39991384892055,1.25438581728861
"eAIR045","C",0.484222144584607,-2.49370584521779
"eAIR046","C",-3.71134648180639,3.51721589410708
"M1C118","CFB",-1.9415282372706,6.46940347509687
"M1C122(1)","CFB",-0.913819852953294,-1.85717455944028
"M1C123(1)","CFN",-3.1556769032036,1.37056031139266
"M1C125(1)","CFN",2.02027086178751,-0.582287294074512
"M1C1265","CFN",-1.00500297253679,-0.850997145202142
"M1C141F","CFB",-2.38402517889119,1.63504534595864
"M1C152","CFN",3.36705732361287,1.95431781716919
"M1C153(2)","CFN",-1.70587643714155,0.782470180882716
"M1C154(1)","CFN",-0.238909166213587,0.567397438550691
"M1C156F","CFN",1.51257498603642,-1.51300932658894
"M1C157","CFB",2.44439087060478,-1.54291414955091
"M1C158","CFB",7.5187533018388,-1.39993346074775
"M1C160(1)","CFB",-1.10270403766794,-1.42962812536972
"M1C161","CFN",1.73472776096777,1.10095476600494
"M1C162(1)","CFN",2.03118350362716,-0.22903876157309
"M1C166(1)","CFB",-2.53298387662963,-1.88251500354806
"M1C168(1)","CFB",2.7376966184954,-1.13077929359442
"M1C170D","CFN",-1.92341354564529,0.696852672691904
"M1C171","CFN",2.64121712396344,0.856389196795445
"M1C172","CFN",-1.27187226218168,0.117255833723733
"M1C174F","CFN",5.11686758208353,1.20504039181157
"M1C175","CFN",-2.57487046882239,-0.331641433204814
"M1C176C","CFN",4.55625349588413,-0.103732310341819
"M1C177","CFN",-0.599020289456216,1.94641266331071
"M1C178","CFN",1.34936625117619,0.139601866890775
"M1C179","CFN",-2.24612070127369,0.00982841015543876
"M1C180D","CFN",1.60748454781512,0.571849562266803
"M1C181","CFN",1.04275504382713,-0.931323726815031
"M1C182B","CFN",0.493440911717198,1.1407002606866
"M1C183C","CFN",-2.55969272938942,2.65994707239484
"M1C184D","CFN",-3.62713134055116,0.7902512331587
"M1C185","CFB",2.17168465447281,-1.18483160612707
"M1C186C","CFN",2.89301199242648,1.61358958252695
"M1C187B","CFB",-0.0469257008795295,4.33384576498481
"M1C188","CFB",-0.523312540312505,0.197103255615329
"M1C189B","CFN",-0.347476052514576,0.396055215001083
"M1C190C","CFB",2.79985556564954,0.714057023942608
"M1C191B","CFN",-2.74472548748383,-0.474935621532707
"M1C192B","CFN",6.74534856202563,-0.258547934520887
"M1C193C","CFN",1.6762345598127,-0.592215213040009
"M1C194A","CFN",3.44110634204421,0.535404208313448
"M1C195A","CFN",1.0069853441035,0.814862305611144
"M1C196B","CFB",2.81430181111093,-0.100798469474273
"M1C198B","CFB",-0.712991567581979,-1.72621613243408
"M1C199B","CFN",1.77640861643207,2.27813525272608
"M1C201A","CFN",-3.69053991912991,-0.526573213815046
"M1C202A","CFN",3.55937312381974,2.34573917670459
"M1C203A","CFN",-0.111108641245919,-0.14248971481177
"M1C204B","CFN",2.01921527025596,-0.684695275215966
"M1C207B","CFN",3.97521693203999,1.88837820569845
"M1C208A","CFB",0.488866611241348,-0.42352839877857
"M1C209A","CFB",-3.93157129719568,0.312646567539905
"M1C210A","CFB",3.77431135870108,-1.37299485118268
"M1C211A","CFN",-2.93907032584186,-0.162480820604598
"M1N047","C",2.37801021137752,-1.27466783218589
"M1N048","C",-4.94315758164194,-1.20145828636746
"M1N051","C",0.313380398501423,-2.73326253853596
"M1N052","C",-1.05252405018357,-2.03569780846614
"M1N055","C",-2.39197852788239,0.558360917121532
"M1N058","C",-5.71821484692359,-0.895759722489257
"M1N062","C",-1.85698471207544,-1.98482169827997
"M1N063","C",-4.33057754702155,0.817211110206339
"M1N066","C",-4.32714950552425,0.237612838646624
"M1N075","C",-4.75180511481894,-2.50766627612436
"M1N078","C",0.457486133990626,-1.01888874550479
"M1N080","C",-1.55317493749622,-1.80281898839071
"M1N087","C",1.07991411494255,-4.49400788722479
"M1N092","C",1.06204271583346,-0.0992750481541054
"M1N135","C",-5.25266379752925,-0.125671261221321
"M1N141","C",-2.15540458300299,-0.367808016608787
