ID,Condition2,cc.phase,signature,module_score
C-1,C,G1,AM_score,0.04681444595159133
C-1,C,G1,RecM_score,0.04081288928739983
C-1,C,S-G2M,AM_score,-0.009980980774096362
C-1,C,S-G2M,RecM_score,-0.00275443654058038
C-2,C,G1,AM_score,0.04819278785632489
C-2,C,G1,RecM_score,0.023954857085869384
C-2,C,S-G2M,AM_score,-0.0013784439685899728
C-2,C,S-G2M,RecM_score,-0.0036927545813905047
C-3,C,G1,AM_score,0.0448349310421511
C-3,C,G1,RecM_score,0.018302838264393363
C-3,C,S-G2M,AM_score,-0.01800247867986834
C-3,C,S-G2M,RecM_score,0.017238157913148797
C-4,C,G1,AM_score,0.040712818470737565
C-4,C,G1,RecM_score,0.041225382736382266
C-4,C,S-G2M,AM_score,-0.006130343557216506
C-4,C,S-G2M,RecM_score,0.005409975544791406
C-5,C,G1,AM_score,0.03840353485537401
C-5,C,G1,RecM_score,0.039705829962992156
C-5,C,S-G2M,AM_score,-0.0022177514250056526
C-5,C,S-G2M,RecM_score,-4.508100111347921e-4
C-6,C,G1,AM_score,0.06059860802273844
C-6,C,G1,RecM_score,0.0297446346236553
C-6,C,S-G2M,AM_score,0.010254483309536922
C-6,C,S-G2M,RecM_score,0.006472076719050361
CFB-1,CFB,G1,AM_score,0.0667676359281981
CFB-1,CFB,G1,RecM_score,0.022131568636133192
CFB-1,CFB,S-G2M,AM_score,-0.1054532809492628
CFB-1,CFB,S-G2M,RecM_score,0.015302469169951415
CFB-2,CFB,G1,AM_score,0.05067513231280454
CFB-2,CFB,G1,RecM_score,0.025750564650065928
CFB-2,CFB,S-G2M,AM_score,-0.0015119619396544884
CFB-2,CFB,S-G2M,RecM_score,0.0024508576847081624
CFB-3,CFB,G1,AM_score,0.02840364150773129
CFB-3,CFB,G1,RecM_score,0.020511653061819193
CFB-3,CFB,S-G2M,AM_score,-0.03824760774477213
CFB-3,CFB,S-G2M,RecM_score,-0.010414903457138627
CFB-4,CFB,G1,AM_score,1.9950569191787282e-4
CFB-4,CFB,G1,RecM_score,0.03481678087832286
CFB-4,CFB,S-G2M,AM_score,-0.07277316242234252
CFB-4,CFB,S-G2M,RecM_score,0.03300940541770998
CFB-5,CFB,G1,AM_score,0.017556777101433635
CFB-5,CFB,G1,RecM_score,0.04161599787175727
CFB-5,CFB,S-G2M,AM_score,-0.01144573891301802
CFB-5,CFB,S-G2M,RecM_score,0.02240781731973913
CFB-6,CFB,G1,AM_score,0.038566355522356016
CFB-6,CFB,G1,RecM_score,0.031082446260460604
CFB-6,CFB,S-G2M,AM_score,-0.036771495778480816
CFB-6,CFB,S-G2M,RecM_score,0.010173885634412913
CFB-7,CFB,G1,AM_score,0.02721640965386685
CFB-7,CFB,G1,RecM_score,0.081981986509701
CFB-7,CFB,S-G2M,AM_score,-0.019158225876825998
CFB-7,CFB,S-G2M,RecM_score,0.06456579125599458
CFB-8,CFB,G1,AM_score,0.0361089651432069
CFB-8,CFB,G1,RecM_score,0.032266959582064075
CFB-8,CFB,S-G2M,AM_score,-0.011569228674800609
CFB-8,CFB,S-G2M,RecM_score,0.009410988683391694
CFN-1,CFN,G1,AM_score,0.04849147677537439
CFN-1,CFN,G1,RecM_score,0.028355943665093145
CFN-1,CFN,S-G2M,AM_score,0.00678193393188911
CFN-1,CFN,S-G2M,RecM_score,0.005572508498834911
CFN-2,CFN,G1,AM_score,0.01324447542086613
CFN-2,CFN,G1,RecM_score,0.02189587395781348
CFN-2,CFN,S-G2M,AM_score,-0.05745084977080648
CFN-2,CFN,S-G2M,RecM_score,0.02152984006618006
CFN-3,CFN,G1,AM_score,0.10289802816057451
CFN-3,CFN,G1,RecM_score,0.07597792960943531
CFN-3,CFN,S-G2M,AM_score,0.029746977599705578
CFN-3,CFN,S-G2M,RecM_score,0.03289223497960291
CFN-4,CFN,G1,AM_score,0.0785124195368975
CFN-4,CFN,G1,RecM_score,0.042884614568186125
CFN-4,CFN,S-G2M,AM_score,0.00704143526455013
CFN-4,CFN,S-G2M,RecM_score,0.014801820417444716
CFN-5,CFN,G1,AM_score,0.01329746742138788
CFN-5,CFN,G1,RecM_score,0.030708292346068155
CFN-5,CFN,S-G2M,AM_score,-0.018049780862964025
CFN-5,CFN,S-G2M,RecM_score,0.01510883409502145
CFN-6,CFN,G1,AM_score,0.0356583175223255
CFN-6,CFN,G1,RecM_score,0.046235974329240474
CFN-6,CFN,S-G2M,AM_score,-0.011914786254422964
CFN-6,CFN,S-G2M,RecM_score,0.03535326804630671
CFN-7,CFN,G1,AM_score,0.05310010911633755
CFN-7,CFN,G1,RecM_score,0.02306987243980729
CFN-7,CFN,S-G2M,AM_score,-0.010401042625701745
CFN-7,CFN,S-G2M,RecM_score,-0.008131717780570279
CFN-8,CFN,G1,AM_score,-0.0026135950253923677
CFN-8,CFN,G1,RecM_score,0.07242292325471054
CFN-8,CFN,S-G2M,AM_score,-0.0017529186048075573
CFN-8,CFN,S-G2M,RecM_score,0.045410394407342125
