"Mono","MDM.IV","MDM.FABP4lo","MDM.FABP4hi","MDM.inflam","MDM.PLA2G7hi","IM"
"CRIP2","CCL13","THBS1","MME","G0S2","SDS","CXCL11"
"RIPOR2","SLC40A1","SPN","ACO1","EHD1","PLA2G7","IDO1"
"CCR2","MAMDC2","ABHD5","PLAAT3","PTGS2","PLPP3","APOBEC3A"
"CLEC5A","F13A1","AMIGO2","AL365295.1","TRAF1","LINC01010","CXCL10"
"RETN","FOLR2","LINC02785","PCOLCE2","TNIP3","SDC2","CXCL9"
"ASGR1","RNASE1","APIP","FAM89A","NR4A1","JAKMIP2","ISG20"
"MCEMP1","LILRB5","LPL","GLDN","GNG2","EEPD1","CCL8"
"HDAC9","SCN9A","GYPC","LIMA1","BAG3","PHLDA1","ANKRD22"
"FCGR2B","DTNA","PNPLA6","LPL","CCL3L1","ST18","CD38"
"EIF4EBP1","STAB1","PCED1B-AS1","LSAMP","IRAK2","MREG","USP18"
"STAC","ME1","STMN1","AMIGO2","CCL4L2","SLAMF7","GBP5"
"CORO1A","DAAM1","HDDC2","MACC1","DUSP2","NR1H3","IFITM1"
"AC253572.2","AFDN","ACSM3","EPB41L4A","SLC7A5","UGCG","HESX1"
"NLRP1","BNC2","LSAMP","S100A13","PID1","TM4SF19","RSAD2"
"CCDC170","CD163L1","S100A13","MYO6","CCL4","MGLL","SOCS1"
"TMEM170B","PDGFC","AGRP","ANO5","HSPA1B","CD109","SLAMF7"
"EMP1","HLA-DOA","CITED2","GYPC","DNAJA4","TESK2","PLAAT4"
"PDK4","PDE4D","PLAAT3","PHLDA3","HSPA6","SDSL","DEFB1"
"HACD4","MERTK","JAML","ALDH1A1","AZIN1-AS1","TTYH3","CMPK2"
"ARMT1","PDK4","ARRDC4","ATP1B1","GRAMD1A","HTRA4","GBP4"
"PCNX2","LINC02345","RETN","SCD","CCL20","RASGRP3","ATF5"
"MICAL2","SUCNR1","PDLIM1","FFAR4","NOCT","A2M","CD274"
"APEX1","SELENOP","MCEMP1","CD5L","ZFAND2A","TBC1D8","IL4I1"
"ST6GALNAC3","PLTP","COLEC12","ARHGEF28","TNIP1","GSDME","SELL"
"TM6SF1","AL356124.1","PLAC8","CES1","LUCAT1","AMPD3","IFIT1"
"DOK2","LPAR6","GCHFR","SPN","HIVEP2","BASP1","LMNB1"
"PNPLA6","A2M","GPATCH11","LGALS3BP","VEGFA","BANP","APOL3"
"YARS","ABCC4","PTPMT1","TBC1D4","BIRC3","MMP19","HES4"
"VSIR","CCDC170","EPAS1","KLHL29","STAT4","BCAT1","IL15RA"
"HEATR5B","AP2A2","STAC","ATP10A","MARCKSL1","IL4I1","CALHM6"
"OTULINL","EEF2K","SCCPDH","INHBA","S100A12","SLC16A10","VAMP5"
"CEBPG","FCGR2B","ADAMTSL4","PDLIM1","TNFAIP6","OTOA","PML"
"CD69","MMP14","DNAAF4","BHLHE41","IL1B","CYP27A1","NLRC5"
"LYAR","P2RY14","FAM89A","VMO1","ECE1","ACP2","HAPLN3"
"NUTF2","MS4A4E","CAT","CORO2A","SERPINB9","GASK1B","HERC6"
"PELI2","ARHGAP22","ETHE1","ABHD5","RUNX3","NR4A3","IRF7"
"VCL","EMB","LGALS3BP","TNIK","INSIG1","RGS1","CD80"
"JAML","DIRC3","MGST1","ENPP4","SLC5A3","BCL2","APOL2"
"FILIP1L","MAF","AQP3","RMDN3","ARL5B","PALM2-AKAP2","ARL5B"
"SPN","ANKH","TRIQK","RBP4","GPR84","CD36","LGALS2"
"TMEM163","ATP8B4","PARAL1","APIP","PMAIP1","CXCR4","TRAFD1"
"PDLIM7","EPS8","PRAM1","SERPING1","KDM6B","CD48","CD40"
"CCL2","COLEC12","TMEM173","ACSM3","LPCAT1","SLC29A3","PSTPIP2"
"USP3-AS1","GPR155","CCND3","PCED1B-AS1","DNAJB1","LY9","HIVEP2"
"ITGAM","PRKACB","EVL","EVL","HS3ST3B1","RHBDF2","NINJ1"
"ARRDC4","HPGDS","SVIL","HPGD","SLC39A8","ST14","KIAA0040"
